item_index,image_word,condition,expected_rating
0,library,congruent,4.09375
0,refrigerator,congruent,3.421875
0,library,incongruent,1.0
0,refrigerator,incongruent,1.0
1,delight,congruent,5.0
1,disappointment,congruent,3.984375
1,delight,incongruent,1.0
1,disappointment,incongruent,1.0
2,overcoat,congruent,4.5
2,sandals,congruent,4.21875
2,overcoat,incongruent,1.0
2,sandals,incongruent,1.0
3,exam,congruent,4.96875
3,marathon,congruent,4.875
3,exam,incongruent,1.0
3,marathon,incongruent,1.0
4,menu,congruent,4.0
4,prescription,congruent,4.09375
4,menu,incongruent,1.0
4,prescription,incongruent,1.0078125
5,distress,congruent,5.0
5,tranquility,congruent,5.0
5,distress,incongruent,1.0
5,tranquility,incongruent,1.0
6,patients,congruent,4.03125
6,students,congruent,3.296875
6,patients,incongruent,1.0
6,students,incongruent,1.0
7,consensus,congruent,4.9375
7,deadlock,congruent,4.96875
7,consensus,incongruent,1.0
7,deadlock,incongruent,1.0
8,cancer,congruent,4.0625
8,engagement,congruent,4.96875
8,cancer,incongruent,1.0078125
8,engagement,incongruent,1.4453125
9,classroom,congruent,4.96875
9,terminal,congruent,4.375
9,classroom,incongruent,2.5625
9,terminal,incongruent,1.0
10,cash,congruent,5.0
10,groceries,congruent,4.8125
10,cash,incongruent,2.0625
10,groceries,incongruent,2.0
11,confident,congruent,5.0
11,lonely,congruent,4.5
11,confident,incongruent,1.046875
11,lonely,incongruent,1.0
12,joy,congruent,5.0
12,outrage,congruent,4.96875
12,joy,incongruent,1.0
12,outrage,incongruent,4.3125
13,snowstorm,congruent,4.375
13,traffic,congruent,4.5
13,snowstorm,incongruent,1.9453125
13,traffic,incongruent,1.0234375
14,frustration,congruent,5.0
14,laughter,congruent,5.0
14,frustration,incongruent,1.0
14,laughter,incongruent,1.0
15,calculator,congruent,3.609375
15,instrument,congruent,2.859375
15,calculator,incongruent,1.0
15,instrument,incongruent,2.75
16,orchestra,congruent,4.5
16,racers,congruent,5.0
16,orchestra,incongruent,2.0625
16,racers,incongruent,1.0234375
17,playdate,congruent,4.0
17,retirement,congruent,4.03125
17,playdate,incongruent,1.0
17,retirement,incongruent,1.6171875
18,depressed,congruent,4.0625
18,relieved,congruent,4.78125
18,depressed,incongruent,4.0625
18,relieved,incongruent,1.0
19,friends,congruent,2.265625
19,weight,congruent,4.0625
19,friends,incongruent,2.03125
19,weight,incongruent,1.0
20,lipstick,congruent,2.453125
20,song,congruent,4.3125
20,lipstick,incongruent,1.1484375
20,song,incongruent,1.0
21,fought,congruent,4.96875
21,sang,congruent,4.0625
21,fought,incongruent,1.0
21,sang,incongruent,1.0
22,reassured,congruent,4.0
22,skeptical,congruent,4.0
22,reassured,incongruent,1.0
22,skeptical,incongruent,1.0390625
23,graduation,congruent,5.0
23,operation,congruent,3.296875
23,graduation,incongruent,1.0
23,operation,incongruent,1.0
24,aftermath,congruent,5.0
24,bride,congruent,4.0
24,aftermath,incongruent,1.0
24,bride,incongruent,1.6171875
25,daughter,congruent,5.0
25,teacher,congruent,4.28125
25,daughter,incongruent,1.984375
25,teacher,incongruent,2.015625
26,grandma,congruent,5.0
26,roommate,congruent,4.625
26,grandma,incongruent,1.90625
26,roommate,incongruent,1.015625
27,brother,congruent,5.0
27,mother,congruent,5.0
27,brother,incongruent,2.09375
27,mother,incongruent,2.015625
28,preschool,congruent,5.0
28,prison,congruent,4.03125
28,preschool,incongruent,1.0
28,prison,incongruent,1.046875
29,hopeful,congruent,4.4375
29,hopeless,congruent,5.0
29,hopeful,incongruent,1.0
29,hopeless,incongruent,1.0
30,appalled,congruent,5.0
30,overjoyed,congruent,4.96875
30,appalled,incongruent,1.0
30,overjoyed,incongruent,1.0
31,encouragement,congruent,4.09375
31,reprimand,congruent,4.75
31,encouragement,incongruent,1.0
31,reprimand,incongruent,1.0
32,angrily,congruent,4.96875
32,cordially,congruent,5.0
32,angrily,incongruent,1.375
32,cordially,incongruent,1.0390625
33,accusatory,congruent,5.0
33,flirtatious,congruent,3.84375
33,accusatory,incongruent,1.0
33,flirtatious,incongruent,1.6484375
34,disapprovingly,congruent,5.0
34,lovingly,congruent,4.125
34,disapprovingly,incongruent,1.046875
34,lovingly,incongruent,1.0
35,distant,congruent,4.0625
35,playful,congruent,4.09375
35,distant,incongruent,1.9921875
35,playful,incongruent,1.0
36,headphones,congruent,4.0
